workload,gpu,problem_size,variant,stage,tile_size,time_ms,gflops,correct,max_abs_error
gemm,H100_SXM5,6144,Ref,0,16,9.075984,51108.118735,1,0.000000
gemm,H100_SXM5,6144,V1,1,16,98.887104,4690.768048,1,0.000000
gemm,H100_SXM5,6144,V0,0,16,89.661343,5173.427638,1,0.000000
gemm,H100_SXM5,6144,V3,2,16,108.310238,4282.665028,1,0.000000
gemm,H100_SXM5,6144,V3,3,16,113.205936,4097.457100,1,0.000000
gemm,H100_SXM5,6144,V3,4,16,108.839645,4261.833694,1,0.000000
gemm,H100_SXM5,6144,Ref,0,32,9.075984,51108.118735,1,0.000000
gemm,H100_SXM5,6144,V1,1,32,45.913553,10102.822266,1,0.000000
gemm,H100_SXM5,6144,V0,0,32,89.670483,5172.900316,1,0.000000
gemm,H100_SXM5,6144,V3,2,32,46.969280,9875.741454,1,0.000000
gemm,H100_SXM5,6144,V3,3,32,47.226479,9821.957553,1,0.000000
gemm,H100_SXM5,6144,V3,4,32,46.110401,10059.692745,1,0.000000
gemm,H100_SXM5,6144,Ref,0,64,9.075984,51108.118735,1,0.000000
gemm,H100_SXM5,6144,V1,1,64,23.114544,20067.731800,1,0.000000
gemm,H100_SXM5,6144,V0,0,64,89.662914,5173.336956,1,0.000000
gemm,H100_SXM5,6144,V3,2,64,24.131664,19221.901261,1,0.000000
gemm,H100_SXM5,6144,V3,3,64,28.301728,16389.687015,1,0.000000
gemm,H100_SXM5,6144,V3,4,64,47.182720,9831.066673,1,0.000000
gemm,H100_SXM5,6144,Ref,0,128,9.075984,51108.118735,1,0.000000
gemm,H100_SXM5,6144,V1,1,128,22.547377,20572.524934,1,0.000000
gemm,H100_SXM5,6144,V0,0,128,89.664993,5173.217004,1,0.000000
gemm,H100_SXM5,8192,Ref,0,16,21.224880,51802.960321,1,0.000000
gemm,H100_SXM5,8192,V1,1,16,233.516815,4708.490165,1,0.000000
gemm,H100_SXM5,8192,V0,0,16,207.500603,5298.835827,1,0.000000
gemm,H100_SXM5,8192,V3,2,16,254.746124,4316.107383,1,0.000000
gemm,H100_SXM5,8192,V3,3,16,266.412033,4127.109482,1,0.000000
gemm,H100_SXM5,8192,V3,4,16,257.052048,4277.389103,1,0.000000
gemm,H100_SXM5,8192,Ref,0,32,21.224880,51802.960321,1,0.000000
gemm,H100_SXM5,8192,V1,1,32,108.390705,10143.966004,1,0.000000
gemm,H100_SXM5,8192,V0,0,32,207.507339,5298.663799,1,0.000000
gemm,H100_SXM5,8192,V3,2,32,110.933586,9911.440405,1,0.000000
gemm,H100_SXM5,8192,V3,3,32,111.676048,9845.545618,1,0.000000
gemm,H100_SXM5,8192,V3,4,32,109.007359,10086.581699,1,0.000000
gemm,H100_SXM5,8192,Ref,0,64,21.224880,51802.960321,1,0.000000
gemm,H100_SXM5,8192,V1,1,64,54.865313,20040.196185,1,0.000000
gemm,H100_SXM5,8192,V0,0,64,207.517731,5298.398474,1,0.000000
gemm,H100_SXM5,8192,V3,2,64,57.246624,19206.575883,1,0.000000
gemm,H100_SXM5,8192,V3,3,64,71.950176,15281.569626,1,0.000000
gemm,H100_SXM5,8192,V3,4,64,113.595165,9679.211482,1,0.000000
gemm,H100_SXM5,8192,Ref,0,128,21.224880,51802.960321,1,0.000000
gemm,H100_SXM5,8192,V1,1,128,53.741568,20459.239963,1,0.000000
gemm,H100_SXM5,8192,V0,0,128,207.499680,5298.859401,1,0.000000
